Browser: Firefox 36beta2
Platform: xubuntu 14.04.1
Keyboard: US

(without modifiers)
==== keydown event ==================================    ==== keypress event =================================
key               keyCode  which  charCode  modifiers    key               keyCode  which  charCode  modifiers
----------------  -------  -----  --------  ---------    ----------------  -------  -----  --------  ---------
Backspace               8      8         0          -    Backspace               8      8         0          -	
Tab                     9      9         0          -    Tab                     9      0         0          -	
Enter                  13     13         0          -    Enter                  13     13         0          -	
Pause                  19     19         0          -    Pause                  19      0         0          -	
CapsLock               20     20         0          -                            -      -         -          -	
Esc                    27     27         0          -    Esc                    27      0         0          -	
PageUp                 33     33         0          -    PageUp                 33      0         0          -	
PageDown               34     34         0          -    PageDown               34      0         0          -	
End                    35     35         0          -    End                    35      0         0          -	
Home                   36     36         0          -    Home                   36      0         0          -	
Left                   37     37         0          -    Left                   37      0         0          -	
Up                     38     38         0          -    Up                     38      0         0          -	
Right                  39     39         0          -    Right                  39      0         0          -	
Down                   40     40         0          -    Down                   40      0         0          -	
Insert                 45     45         0          -    Insert                 45      0         0          -	
Del                    46     46         0          -    Del                    46      0         0          -	
OS                     91     91         0          -                            -      -         -          -	
F1                    112    112         0          -    F1                    112      0         0          -	
F2                    113    113         0          -    F2                    113      0         0          -	
F3                    114    114         0          -    F3                    114      0         0          -	
F4                    115    115         0          -    F4                    115      0         0          -	
F5                    116    116         0          -    F5                    116      0         0          -	
F6                    117    117         0          -    F6                    117      0         0          -	
F7                    118    118         0          -    F7                    118      0         0          -	
F8                    119    119         0          -    F8                    119      0         0          -	
F9                    120    120         0          -    F9                    120      0         0          -	
F10                   121    121         0          -    F10                   121      0         0          -	
F11                   122    122         0          -    F11                   122      0         0          -	
F12                   123    123         0          -    F12                   123      0         0          -	
ScrollLock            145    145         0          -                            -      -         -          -	
                       32     32         0          -                            0     32        32          -	
0                      48     48         0          -    0                       0     48        48          -	
1                      49     49         0          -    1                       0     49        49          -	
2                      50     50         0          -    2                       0     50        50          -	
3                      51     51         0          -    3                       0     51        51          -	
4                      52     52         0          -    4                       0     52        52          -	
5                      53     53         0          -    5                       0     53        53          -	
6                      54     54         0          -    6                       0     54        54          -	
7                      55     55         0          -    7                       0     55        55          -	
8                      56     56         0          -    8                       0     56        56          -	
9                      57     57         0          -    9                       0     57        57          -	
;                      59     59         0          -    ;                       0     59        59          -	
=                      61     61         0          -    =                       0     61        61          -	
a                      65     65         0          -    a                       0     97        97          -	
b                      66     66         0          -    b                       0     98        98          -	
c                      67     67         0          -    c                       0     99        99          -	
d                      68     68         0          -    d                       0    100       100          -	
e                      69     69         0          -    e                       0    101       101          -	
f                      70     70         0          -    f                       0    102       102          -	
g                      71     71         0          -    g                       0    103       103          -	
h                      72     72         0          -    h                       0    104       104          -	
i                      73     73         0          -    i                       0    105       105          -	
j                      74     74         0          -    j                       0    106       106          -	
k                      75     75         0          -    k                       0    107       107          -	
l                      76     76         0          -    l                       0    108       108          -	
m                      77     77         0          -    m                       0    109       109          -	
n                      78     78         0          -    n                       0    110       110          -	
o                      79     79         0          -    o                       0    111       111          -	
p                      80     80         0          -    p                       0    112       112          -	
q                      81     81         0          -    q                       0    113       113          -	
r                      82     82         0          -    r                       0    114       114          -	
s                      83     83         0          -    s                       0    115       115          -	
t                      84     84         0          -    t                       0    116       116          -	
u                      85     85         0          -    u                       0    117       117          -	
v                      86     86         0          -    v                       0    118       118          -	
w                      87     87         0          -    w                       0    119       119          -	
x                      88     88         0          -    x                       0    120       120          -	
y                      89     89         0          -    y                       0    121       121          -	
z                      90     90         0          -    z                       0    122       122          -	
-                     173    173         0          -    -                       0     45        45          -	
,                     188    188         0          -    ,                       0     44        44          -	
.                     190    190         0          -    .                       0     46        46          -	
/                     191    191         0          -    /                       0     47        47          -	
`                     192    192         0          -    `                       0     96        96          -	
[                     219    219         0          -    [                       0     91        91          -	
\                     220    220         0          -    \                       0     92        92          -	
]                     221    221         0          -    ]                       0     93        93          -	
'                     222    222         0          -    '                       0     39        39          -	



(with shift key)
==== keydown event ==================================    ==== keypress event =================================
key               keyCode  which  charCode  modifiers    key               keyCode  which  charCode  modifiers
----------------  -------  -----  --------  ---------    ----------------  -------  -----  --------  ---------
Backspace               8      8         0          s    Backspace               8      8         0          s	
Unidentified            9      9         0          s    Unidentified            9      0         0          s	
Enter                  13     13         0          s    Enter                  13     13         0          s	
Pause                  19     19         0          s    Pause                  19      0         0          s	
CapsLock               20     20         0          s                            -      -         -          -	
Esc                    27     27         0          s    Esc                    27      0         0          s	
PageUp                 33     33         0          s    PageUp                 33      0         0          s	
PageDown               34     34         0          s    PageDown               34      0         0          s	
End                    35     35         0          s    End                    35      0         0          s	
Home                   36     36         0          s    Home                   36      0         0          s	
Left                   37     37         0          s    Left                   37      0         0          s	
Up                     38     38         0          s    Up                     38      0         0          s	
Right                  39     39         0          s    Right                  39      0         0          s	
Down                   40     40         0          s    Down                   40      0         0          s	
